"","Village","District","Latitude","Longitude","Elevation","Acres","Planting.year","Age","variety","Row.spacing..meter.","Plant.to.plant.spacing..meter.","Population.acre","Rainfed..irrigated","Irrigation.frequency","N.fert","Yield..Kgs.acre.","ID","dry_sumrain","dry_meantmax","dry_meantmin","dry_meanvpd","dry_sumsoil","wet_sumrain","wet_meantmax","wet_meantmin","wet_meanvpd","wet_sumsoil","Elevation_update","aspect"
"167","Kurumudi","Nilgiris ",11.4768,76.8229,1570,2,2002,20,"UPASI","0.6 m","0.6 m",8250,"Rainfed","Nil","Urea",4000,"76.8229_11.4768",1223.4,23.5041666666667,12.6791666666667,0.669583333333333,950.6,4054.6,20.8666666666667,12.7916666666667,0.308333333333333,2707.4,1544,289.887955701888
"168","Bygamanthu","Nilgiris ",11.3867,76.8935,1480,2,1987,35,"UPASI","0.6 m","0.6 m",8250,"Rainfed","Nil",NA,3000,"76.8935_11.3867",1231.3,24.55,13.9208333333333,0.710416666666667,895.8,3972.2,22.35,14.2708333333333,0.380416666666667,2440.6,1458,213.621714162551
"169","Bygamanthu","Nilgiris ",11.3857,76.8934,1450,4,1993,29,"UPASI","0.9 m","0.6 m",5500,"Rainfed","Nil","Urea",8000,"76.8934_11.3857",1231.3,24.55,13.9208333333333,0.710416666666667,895.8,3972.2,22.35,14.2708333333333,0.380416666666667,2440.6,1428,212.345218784228
"170","Bygamanthu","Nilgiris ",11.3838,76.8944,1428,1.5,2003,19,"UPASI","0.6 m","0.6 m",8250,"Rainfed","Nil","Urea",5000,"76.8944_11.3838",1231.3,24.55,13.9208333333333,0.710416666666667,895.8,3972.2,22.35,14.2708333333333,0.380416666666667,2440.6,1407,164.231477946757
"171","Thambatty","Nilgiris ",11.3579,76.6932,7196,2,1973,49,"Chinese","0.9 m","0.6 m",5500,"Rainfed","Nil","Urea",8000,"76.6932_11.3579",1432.1,21.7458333333333,10.275,0.594166666666667,1612.4,5027,19.6083333333333,11.2291666666667,0.33125,4112.5,2163,165.583302360834
"172","Thambatty","Nilgiris ",11.3568,76.68869,7125,1,1978,44,"UPASI","1.20 m","0.75 m",4500,"Rainfed","Nil","Urea",8000,"76.68869_11.3568",1432.1,21.7458333333333,10.275,0.594166666666667,1612.4,5027,19.6083333333333,11.2291666666667,0.33125,4112.5,2142,178.549090396097
"173","Thambatty","Nilgiris ",11.3434,76.69569,6805,1,2003,19,"UPASI","0.6 m","0.6 m",8250,"Rainfed","Nil","Urea",6000,"76.69569_11.3434",1432.1,21.7458333333333,10.275,0.594166666666667,1612.4,5027,19.6083333333333,11.2291666666667,0.33125,4112.5,2045,195.614325215527
"174","Kurumudi","Nilgiris ",11.4757,76.8227,1583,1.5,2003,19,"UPASI","0.9 m","0.6 m",5500,"Rainfed","Nil","Urea",4800,"76.8227_11.4757",1223.4,23.5041666666667,12.6791666666667,0.669583333333333,950.6,4054.6,20.8666666666667,12.7916666666667,0.308333333333333,2707.4,1563,314.61392598618
"175","Kurumudi","Nilgiris ",11.4788,76.8244,1548,3,1998,24,"UPASI","0.75 m","0.9 m",4500,"Rainfed","Nil",NA,3200,"76.8244_11.4788",1223.4,23.5041666666667,12.6791666666667,0.669583333333333,950.6,4054.6,20.8666666666667,12.7916666666667,0.308333333333333,2707.4,1526,11.4594745956893
"176","Kurumudi","Nilgiris ",11.4802,76.8282,1534,1.5,1973,49,"UPASI","0.9 m","0.6 m",5500,"Rainfed","Nil","Urea",4000,"76.8282_11.4802",1223.4,23.5041666666667,12.6791666666667,0.669583333333333,950.6,4054.6,20.8666666666667,12.7916666666667,0.308333333333333,2707.4,1513,29.0669010862085
"177","Kurumudi","Nilgiris ",11.4789,76.8288,1542,2,1998,24,"UPASI","0.75 m","0.75 m",5500,"Irrigation","7","Urea",3200,"76.8288_11.4789",1223.4,23.5041666666667,12.6791666666667,0.669583333333333,950.6,4054.6,20.8666666666667,12.7916666666667,0.308333333333333,2707.4,1524,50.1442717476805
"178","Kurumudi","Nilgiris ",11.4742,76.8298,1649,1.5,1983,39,"UPASI","0.75 m","0.75 m",5500,"Irrigation","5",NA,3200,"76.8298_11.4742",1223.4,23.5041666666667,12.6791666666667,0.669583333333333,950.6,4054.6,20.8666666666667,12.7916666666667,0.308333333333333,2707.4,1630,336.712143289474
"179","Kurumudi","Nilgiris ",11.4773,76.8298,1537,0.5,1968,54,"UPASI","0.6 m","0.6 m",8250,"Rainfed","Nil","Urea",3200,"76.8298_11.4773",1223.4,23.5041666666667,12.6791666666667,0.669583333333333,950.6,4054.6,20.8666666666667,12.7916666666667,0.308333333333333,2707.4,1518,58.9130698271298
"180","Kurumudi","Nilgiris ",11.4759,76.8286,1588,2.5,2013,9,"UPASI","1.20 m","0.75 m",4500,"Rainfed","Nil","Urea",6000,"76.8286_11.4759",1223.4,23.5041666666667,12.6791666666667,0.669583333333333,950.6,4054.6,20.8666666666667,12.7916666666667,0.308333333333333,2707.4,1571,28.6242758889602
"181","Bygamanthu","Nilgiris ",11.384,76.8933,1430,1.5,1993,29,"UPASI","0.9 m","0.6 m",5500,"Rainfed","Nil",NA,2400,"76.8933_11.384",1231.3,24.55,13.9208333333333,0.710416666666667,895.8,3972.2,22.35,14.2708333333333,0.380416666666667,2440.6,1402,197.515651768956
"182","Thambatty","Nilgiris ",11.34482,76.7024,6728,5,1993,29,"UPASI","0.6 m","0.6 m",8250,"Rainfed","Nil","Urea",4800,"76.7024_11.34482",1432.1,21.7458333333333,10.275,0.594166666666667,1612.4,5027,19.6083333333333,11.2291666666667,0.33125,4112.5,2031,303.346761778673
"183","Thambatty","Nilgiris ",11.34654,76.7028,6678,1.5,2008,14,"UPASI","0.6 m","0.6 m",8250,"Rainfed","Nil","Urea",4400,"76.7028_11.34654",1432.1,21.7458333333333,10.275,0.594166666666667,1612.4,5027,19.6083333333333,11.2291666666667,0.33125,4112.5,2012,1.18445897375116
"184","Thambatty","Nilgiris ",11.3542,76.7018,6620,2,1998,24,"UPASI","0.9 m","0.6 m",5500,"Rainfed","Nil",NA,3200,"76.7018_11.3542",1432.1,21.7458333333333,10.275,0.594166666666667,1612.4,5027,19.6083333333333,11.2291666666667,0.33125,4112.5,1991,205.490349299744
